"url","Ticker","Ticker_link","Company","Company_link","Ceo","Year","Compensation"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","GOOG","https://aflcio.org/paywatch/GOOG","Alphabet","https://aflcio.org/paywatch/GOOG","Sundar Pichai","2015","$100,632,102"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","CHTR","https://aflcio.org/paywatch/CHTR","Charter Communications","https://aflcio.org/paywatch/CHTR","Thomas M. Rutledge","2016","$98,515,727"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","EXPE","https://aflcio.org/paywatch/EXPE","Expedia","https://aflcio.org/paywatch/EXPE","Dara Khosrowshahi","2015","$94,603,552"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","VIA","https://aflcio.org/paywatch/VIA","Viacom","https://aflcio.org/paywatch/VIA","Philippe P. Dauman","2016","$93,021,795"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","SCTY","https://aflcio.org/paywatch/SCTY","SolarCity Corporation","https://aflcio.org/paywatch/SCTY","Lyndon R. Rive","2015","$77,318,016"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","GBL","https://aflcio.org/paywatch/GBL","Gamco Investors","https://aflcio.org/paywatch/GBL","Mario J. Gabelli","2015","$75,018,176"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","CBS","https://aflcio.org/paywatch/CBS","CBS Corporation","https://aflcio.org/paywatch/CBS","Leslie Moonves","2016","$69,550,657"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","LNG","https://aflcio.org/paywatch/LNG","Cheniere Energy","https://aflcio.org/paywatch/LNG","Charif Souki","2015","$54,041,015"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","EL","https://aflcio.org/paywatch/EL","Estee Lauder Companies","https://aflcio.org/paywatch/EL","Fabrizio Freda","2016","$48,369,401"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","NKE","https://aflcio.org/paywatch/NKE","Nike","https://aflcio.org/paywatch/NKE","Mark G. Parker","2016","$47,615,302"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","REGN","https://aflcio.org/paywatch/REGN","Regeneron Pharmaceuticals","https://aflcio.org/paywatch/REGN","Leonard S. Schleifer","2015","$47,462,526"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","DIS","https://aflcio.org/paywatch/DIS","Walt Disney Company","https://aflcio.org/paywatch/DIS","Robert A. Iger","2016","$43,882,396"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","ORCL","https://aflcio.org/paywatch/ORCL","Oracle Corporation","https://aflcio.org/paywatch/ORCL","Mark V. Hurd","2016","$41,121,896"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","DISCA","https://aflcio.org/paywatch/DISCA","Discovery Communications","https://aflcio.org/paywatch/DISCA","David M. Zaslav","2016","$37,192,354"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","YHOO","https://aflcio.org/paywatch/YHOO","Yahoo!","https://aflcio.org/paywatch/YHOO","Marissa A. Mayer","2015","$35,981,107"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","HPE","https://aflcio.org/paywatch/HPE","Hewlett Packard Enterprise Company","https://aflcio.org/paywatch/HPE","Margaret C. Whitman","2016","$35,564,351"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","IMS","https://aflcio.org/paywatch/IMS","IMS Health Holdings","https://aflcio.org/paywatch/IMS","Ari Bousbib","2015","$34,833,517"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","CRM","https://aflcio.org/paywatch/CRM","Salesforce.com","https://aflcio.org/paywatch/CRM","Marc Benioff","2016","$33,362,903"
"https://aflcio.org/paywatch/highest-paid-ceos?combine=&industry=All&state=All&sp500=0&page=0","CMCSA","https://aflcio.org/paywatch/CMCSA","Comcast Corporation","https://aflcio.org/paywatch/CMCSA","Brian L. Roberts","2016","$32,963,491"
