time	Democratic candidate	Republican candidate	Candidate from another political party	Will not/do not plan to vote	Don’t know / Refused	
2017-05-23	43	36.1	2.8	1.4	17
2017-05-24	43.2	36	4	2	14.8
2017-05-25	42.4	35.6	3.5	3	15.4
2017-05-26	41	36.3	4	3.6	15.2
2017-05-27	41.6	35.5	3.9	3.5	15.5
2017-05-28	39.9	36.2	4.6	4.1	15.2
2017-05-29	39.9	35.7	4.5	4.1	15.9
2017-05-30	39.8	35.5	5.6	3.4	15.8
2017-05-31	40.4	34.7	6	3.2	15.7
2017-06-01	40.2	34.5	6.4	3.1	15.7
2017-06-02	41.2	33.7	5.9	2.9	16.2
2017-06-03	41.4	34.7	5.7	3.2	15
2017-06-04	42.2	33.9	5.3	4	14.6
2017-06-05	42.3	33.7	4.8	3.6	15.7
2017-06-06	42.8	33.5	4.7	3.6	15.4
2017-06-07	42.8	33.4	4.7	3.9	15.2
2017-06-08	43	32.8	4.8	3.6	15.8
2017-06-09	44	32.1	4	3.2	16.7
2017-06-10	44.5	32.7	3.9	3.4	15.5
2017-06-11	44.7	33.2	3.5	3.3	15.3
2017-06-12	43.8	34.5	3.7	3.5	14.5
2017-06-13	42.7	35.3	3.7	3.5	14.8
2017-06-14	42.3	36.9	3.6	3	14.3
2017-06-15	42.4	35.4	3.8	2.9	15.6
2017-06-16	43.3	35.9	4.2	2.6	14.1
2017-06-17	44.6	33.3	4.7	2.6	14.9
2017-06-18	45	32.2	4.9	2.7	15.2
2017-06-19	45.4	31.2	5.9	2.7	14.7
2017-06-20	45.2	32.5	5.9	2.9	13.5
2017-06-21	43.2	34.1	6.2	3.2	13.4
2017-06-22	43.2	34	6.4	3.2	13.2
2017-06-23	42.4	33.8	6	3.9	13.8
2017-06-24	41.1	33.5	6.8	3.3	15.3
2017-06-25	41.5	33	6.2	3.2	16.2
2017-06-26	42.7	31.5	5.6	3.3	16.9
2017-06-27	41.8	32.4	5	4.2	16.6
2017-06-28	42.1	33.5	5.2	3.2	16
2017-06-29	42.5	33	4.2	4	16.3
2017-06-30	41.5	34.1	4.6	3.5	16.4
2017-07-01	39.7	35.2	5	3.4	16.7
2017-07-02	40.3	35.3	5.1	3.1	16.2
2017-07-03	41.6	35.8	4.7	2.9	15.1
2017-07-04	42.3	36.1	4.5	2	15
2017-07-05	43.3	36.2	4.3	2.5	13.7
2017-07-06	43.5	35.4	4.7	2.7	13.7
2017-07-07	43.8	34.2	4.9	2.2	14.9
2017-07-08	42.8	34.6	5.3	2.5	14.8
2017-07-09	42.3	33.6	6.3	3.2	14.5
2017-07-10	41.9	33.1	6.3	3	15.8
2017-07-11	41.9	32.9	6.1	2.7	16.4
2017-07-12	40.3	33.6	6.4	2.8	16.8
2017-07-13	39	33.8	6.2	3.3	17.7
2017-07-14	39.5	33.5	5.8	2.8	18.3
2017-07-15	39.6	33.8	6	2.5	18.1
2017-07-16	39.7	35.5	5.3	2.5	17
2017-07-17	41.9	34.9	4.6	2	16.6
2017-07-18	41.9	34.9	4	1.4	17.8
2017-07-19	39.4	35.7	4.4	1.6	18.9
2017-07-20	39.3	35.7	4.9	2.1	18
2017-07-21	38.1	34.5	5.9	2.4	19.1
2017-07-22	37.8	33.5	6.2	2.6	19.9
2017-07-23	37.7	34.9	6.7	2.6	18.2
2017-07-24	40.7	34	5.8	2.4	17.1
2017-07-25	40.7	33.9	6.1	2.4	17
2017-07-26	43.1	33.1	4.9	2.4	16.6
2017-07-27	42.5	34	4.5	3	16.1
2017-07-28	43.9	32.4	5	3.8	14.9
2017-07-29	42.9	32.6	5.1	3.8	15.7
2017-07-30	42.8	32.4	5	3.8	15.9
2017-07-31	42.3	33.3	5.4	3.8	15.2
2017-08-01	42.5	33.4	5.6	3.6	14.9
2017-08-02	40.8	34	5.5	3.1	16.6
2017-08-03	39.6	34.4	5.9	4.3	15.9
2017-08-04	40.2	35.4	5.7	3.9	14.8
2017-08-05	42	34.1	4.8	3.8	15.3
2017-08-06	42.4	32.4	4.5	4	16.7
2017-08-07	42.4	33	4.6	3.4	16.6
2017-08-08	45	33.3	4.4	2.4	14.9
2017-08-09	44.2	33.2	4.3	2.7	15.5
2017-08-10	42.6	33.4	4.7	3.2	16.1
2017-08-11	42.4	34.2	4.8	2.8	15.8
2017-08-12	42.2	33.5	5.3	2.9	16.2
2017-08-13	42	32.9	5	3.2	16.9
2017-08-14	43.3	32	4.7	3.5	16.5
2017-08-15	43.2	31.7	4.4	3.5	17.2
2017-08-16	43.8	30.6	4.7	4	16.8
2017-08-17	43.6	31.7	4.9	4.1	15.7
2017-08-18	41.8	32.2	5	4.1	17
2017-08-19	41.4	33.1	4.9	4	16.5
2017-08-20	41.8	33	5	3.9	16.3
2017-08-21	40.7	33.8	4.8	3.9	16.8
2017-08-22	40.3	33.9	4.5	4	17.3
2017-08-23	41	33.9	4.4	3.8	17
2017-08-24	40.9	33.8	4.2	3.9	17.1
2017-08-25	42.4	33.7	4.3	3.6	16
2017-08-26	42.6	33.9	4.8	3.5	15.2
2017-08-27	43.5	32.5	4.6	3.2	16.1
2017-08-28	41.3	35	4.7	4	15
2017-08-29	40.5	33.8	5	3.8	16.8
2017-08-30	38.4	35.4	5.2	3.7	17.3
2017-08-31	38.7	36	5	3.3	17.1
2017-09-01	39.8	35.7	4.9	3.2	16.4
2017-09-02	40.9	36	4.9	2.3	15.9
2017-09-03	41	37.1	5	2.4	14.5
2017-09-04	41.2	36.5	4.7	2.8	14.8
2017-09-05	41.3	35.6	4.4	3.2	15.5
2017-09-06	39.5	37.5	3.9	3.4	15.7
2017-09-07	40.1	37	4.1	2.8	16
2017-09-08	39.9	36.7	4.3	2.8	16.3
2017-09-09	39.7	36.6	4.2	3.4	16
2017-09-10	40.7	35	5	3.5	15.8
2017-09-11	42.3	33.4	5.3	3.3	15.7
2017-09-12	43	32.6	4.6	4	15.9
2017-09-13	43.9	32.5	4.4	3.8	15.3
2017-09-14	44.3	32.1	4.6	3.6	15.4
2017-09-15	44.8	32.7	3.9	3.6	15.1
2017-09-16	43.1	33.2	4.1	4.2	15.3
2017-09-17	43.2	33.2	4.2	3.9	15.5
2017-09-18	42.9	31.5	5.1	4.8	15.8
2017-09-19	41.7	33.5	5.3	4.8	14.8
2017-09-20	41.8	33.7	5.3	5.1	14.1
2017-09-21	43	33.5	4.6	4.6	14.3
2017-09-22	44.2	32	4.8	4.5	14.4
2017-09-23	43.6	32.3	4.3	4.5	15.3
2017-09-24	42.5	33.8	4.6	4.3	14.9
2017-09-25	40.7	35.7	4.6	3.7	15.2
2017-09-26	40.8	34.7	5.5	3.7	15.3
2017-09-27	39.8	35.3	5.7	3.7	15.5
2017-09-28	39.9	35.7	5.6	3.8	14.9
2017-09-29	40.6	34.8	5.4	3.9	15.3
2017-09-30	41.3	33.8	5.6	3.8	15.5
2017-10-01	41.1	34.5	5.5	3.7	15.2
2017-10-02	41.7	34	5.5	3.8	15
2017-10-03	42.3	34.1	5.8	3.9	13.9
2017-10-04	41.9	34.3	5.9	4.3	13.5
2017-10-05	42.5	33.3	6.1	4.6	13.5
2017-10-06	42.2	32.8	5.4	4.5	15.1
2017-10-07	40.7	33.3	5.4	4.6	16
2017-10-08	40.5	32.9	5.2	4	17.5
2017-10-09	39.8	33	5.4	3.7	18.1
2017-10-10	39.4	33.7	5.2	3.4	18.3
2017-10-11	39.1	33.4	6	3.3	18.2
2017-10-12	40.8	32.6	5.5	3.3	17.8
2017-10-13	39.9	33.2	5.5	3.6	17.9
2017-10-14	40.5	34.1	4.9	3.3	17.3
2017-10-15	40.9	33.6	4.8	3.6	17
2017-10-16	41.7	34	4.7	3.6	16.1
2017-10-17	41.5	34.4	4.5	4	15.7
2017-10-18	41.6	33.9	4.8	4.5	15.2
2017-10-19	42.1	32.7	5.4	4.1	15.8
2017-10-20	40.3	33	5.3	4	17.5
2017-10-21	39.5	33.3	5.2	3.8	18.2
2017-10-22	39.9	33	5.3	3.5	18.3
2017-10-23	40.8	32.3	4.9	3	19
2017-10-24	40.4	32.1	4.9	3.3	19.2
2017-10-25	41.3	31.8	4.7	3.5	18.6
